Id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Birth registration funder age 5 2005-2013,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Change mobile usage 2009 2014,Consumer price index 2013,Domestic credit provided by financial sector 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Expected years of schooling - Years,Exports and imports percentage GPD 2013,Female Suicide Rate 100k people,Foreign direct investment net inflows percentage GDP 2013,Forest area percentage of total land area 2012,Fossil fuels percentage of total 2012,Fresh water withdrawals 2005,Gender Inequality Index 2014,General government final consumption expenditure - Annual growth 2005 2013,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross fixed capital formation of GDP 2005-2013,Gross national income GNI per capita - 2011  Dollars,Homeless people due to natural disaster 2005 2014 per million people,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,International student mobility of total tetiary enrolvemnt 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,MaleSuicide Rate 100k people,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Mobile phone subscriptions per 100 people 2014,Natural resource depletion,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population affected by natural desasters average annual per million people 2005-2014,Population living on degraded land Percentage 2010,Population with at least some secondary education percent 2005-2013,Pre-primary 2008-2014,Primary-2008-2014,Primary school dropout rate 2008-2014,Prison population per 100k people,Private capital flows percentage GDP 2013,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Refugees by country of origin,Remittances inflows percentual GDP 2013,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Secondary 2008-2014,Share of seats in parliament percentage held by womand 2014,Stock of immigrants percentage of population 2013,Taxes on income profit and capital gain 205 2013,Tertiary -2008-2014,Total tax revenue of GDP 2005-2013,Tuberculosis rate per thousands 2012,Under-five Mortality 2013 thousands
Malta,0.83897834,28.53333333,18.193,100,3.318951129,6.034321639,0,27.22,106.6518099,146.6967753,2.59,8.6,100,14.40634,182.5057,0.7,-19.37838,0.9375,94.51428078,7.94,0.226573229,0.903211418,20.20054095,12.2023425,28827.92676,14.3367355,27930.29827,0,2.8,5.3,1582,-6.26895,73.17,16,80.6,11.1,9,10.33,126.98,0.182337587,2.1,34.95,10296.58317,7.976850548,73.29106,115.60481,95.79302,5.53651,145,52.73935,7.963749886,8.703942,11.45141,0.006,0.3513015,5.485719217,0.84241,86.28857,13.0434783,8.031393647,33.13890294,41.21104,27.01990192,0.37,6.1
Saudi Arabia,0.837273977,29.00333333,10.221,100,2.86598702,18.74082287,0,7.25,112.6951565,-7.876052716,2.89,3.8,97.7,16.27418,82.42468,0.2,1.24226,0.454484135,99.99760143,943.3,0.284272279,9.210470957,22.13920617,1501.060624,52067.96605,23.2028806,52821.35798,36.94854827,0.8,13.4,13400,-0.8407,63.7,39.46666667,74.3,0.6,16,8.695222916,179.56,20.64112626,2.1,7.67,41.28261299,4.298975873,66.50885,13.49146,106.39794,1.31228,162,0.3087323,5.13781023,3.164587,10.39186,0.6,0.0359107,0.002398032,0.07338,116.16767,19.8675497,31.42833209,18.65662073,57.51638,9.946080305,3.9,15.5
Argentina,0.835572018,43.57,54.354,100,0.978276676,4.665868631,-16.87868248,21.05,110.4485581,33.26890643,3.266666667,6.333333333,99.8,17.94733,29.34839,4.1,1.867905,10.56765655,89.66696697,4.3,0.375609704,5.07691493,15.50611267,192.6363302,22982.08336,17.0225753,22049.59416,17.90567657,5.5,11.9,5571,-5.788993333,64.7,31.33333333,76.3,17.2,69,9.834001245,158.74,3.060038716,-0.5,31.55,1667.130399,1.681961183,56.94,75.55846,123.74646,2.90276,147,-1.693756,5.137589931,7.254919,16.33135,0.388,0.0872967,9.295287965,0.64696,107.28876,36.7781155,4.549695526,8.895292956,80.30781,14.48336098,1.3,13.3
United Arab Emirates,0.83546904,29.00333333,27.625,100,-3.771636299,19.99797997,30.37551018,28.78,102.6644428,76.45399993,1.58,6.3,97.7,13.33,176.0669,1.7,2.606738,3.820813397,48.29271242,1867,0.232171713,4.227448279,6.84261035,525.1324733,57044.57765,21.9681455,60868.33005,0,0.7,7,7126,38.20163,90.4,39.46666667,77,3.9,8,9.4916875,178.06,11.68870353,11.4,19.3,9.40796535,1.875463572,64.3,79.42905,108.3284,8.04099,238,5.650038667,6.00911665,3.200764,16.06864,0.088,0.271701567,0.083458492,0.48911,101.9143167,17.5,83.74569835,21.41171644,66.56289667,0.355057935,0.1,8.2
Chile,0.832178477,50.84,55.285,99,1.880778148,4.58786833,6.834829327,37.64,108.3544928,115.484875,2.62,7.4,99.6,15.24619,65.45889,5.8,7.308171,21.93073062,75.64296907,3.83,0.337591369,4.153329321,12.38565479,382.5948954,21714.03155,23.6091046,21290.1504,4832.268884,3.1,7.1,3576,-0.50562,72.35,35.7,81.7,19,22,9.786924362,133.26,8.316859685,0.3,10.24,24051.09582,1.147735835,74.77146,113.64857,101.21813,1.33246,266,-5.186472,4.553850174,7.730832,21.15991,0.598,1.08E-04,24.1646402,0.41722,89.01063,15.8227848,2.260258797,30.36063148,74.39199,19.04565896,1.2,8.2
Portugal,0.830095297,30.66333333,12.573,100,3.230429058,4.709849624,4.003502487,0.29,106.8199896,183.2715691,2.47,9,100,16.31495,77.53988,3.5,3.467122,37.8163555,74.91724082,10.1,0.110965715,-1.944355291,18.95179627,267.7253099,25595.62863,15.1409601,25756.82103,0.79422253,1.2,3.1,8097,1.35202,64.59,38,80.9,13.6,8,8.245105743,111.8,0.077738158,1.9,34.23,48.45702938,2.32020344,47.95549,85.61022,106.28422,2.332123333,136,-0.2149885,5.272130013,9.709223,11.73422,0.032,1.923409,21.98440977,1.49533,112.85166,31.3043478,8.42603559,22.15593652,68.86158,20.34140631,1.3,3.8
Hungary,0.828350453,28.94,12.127,100,-1.06227674,4.862989931,12.85250601,0.42,111.7853974,64.69274759,2.43,5.8,100,15.38815,169.9286,7.4,-3.224301,22.6157075,71.12797344,5.37,0.208865905,3.234748646,19.8947513,226.7846956,22913.91693,19.9329772,22915.76394,0,1.3,5.2,10700,3.3921,76.13,30.46666667,75.2,32.4,14,11.63608,118.05,0.427221362,1.5,29.6,1054.687332,17.11581302,98.28557,87.2477,100.23676,1.9277,186,-2.383312,4.712250233,8.047233,10.48051,1.208,3.241818,25.95742962,1.29664,101.61882,10.1010101,4.749380232,15.93927527,59.63108,22.86834823,0.73,6.1
Bahrain,0.823921957,29.00333333,13.785,100,1.295431545,18.13127841,154.2105266,47.27,105.6452213,78.59391783,2.24,18.5,97.7,14.4,122.1617,2.9,3.006465,0.736842105,99.89143591,12.31333333,0.264862603,10.71694033,14.41489118,56.54303686,42444.27844,19.2478142,38598.50765,0,0.5,5.2,9163,-4.67038,91,39.46666667,76.6,11.6,22,9.419,173.27,9.713958659,3.4,9.13,5.476724528,3.608516567,54.9,49.81336,101.6775433,2.19257,275,-10.44743,2.679059982,4.874988,11.76839,0.285,0.862531667,0,2.115216667,95.51475,15,54.74950288,0.669771525,33.45658,1.103893772,0.34,6.1
Latvia,0.81876601,36.03,13.522,100,0.414732113,3.786801437,6.440058888,13.89,106.7099567,58.56709432,2.86,7.9,100,15.24266,121.5114,4.3,2.845265,54.30685108,63.68715109,15.14,0.166647312,-11.01495601,15.49680565,43.94125801,21824.56808,22.2077449,22280.51382,0,4.7,7.4,1536,-2.94155,75.83,26.83333333,74.2,30.7,13,11.47896866,124.2,0.981649935,-1,28.78,0,1.827870384,98.93101,92.22242,102.99981,9.71279,304,-0.6312044,4.934820175,5.712866,11.01496,0.232,2.462795,33.84129734,0.65851,97.70996,18,13.79723233,8.70806381,65.13343,13.82147966,2.6,8.4
Croatia,0.817539869,33.61,12.736,97.66666667,0.414732113,4.801530011,4.058292614,-2.83,108.0833333,94.11452891,3.16,2.7,100,14.80786,85.42414,4.5,1.016744,34.43173696,81.59593959,0.6,0.148889743,0.527955554,20.03665167,85.32247465,20063.1304,19.3048298,19409.48589,0,1.2,3.8,1.10E+04,-5.21969,68.57,26.16666667,77.3,19.8,13,11.02670097,104.43,1.561552346,-0.9,28.42,276.6847988,17.51373102,89.05356,63.30947,96.82135,0.56046,108,-5.698811,4.206639767,7.303316,13.67519,40.189,2.586122,10.56037134,0.75164,98.42801,25.8278146,17.64639787,7.94347244,61.63096,19.57715941,1.4,4.5
Kuwait,0.816271768,29.00333333,14.475,100,-0.437188097,29.13222464,86.57142844,137.76,111.1876076,47.87795577,2.6,3.7,97.7,14.746555,98.1076,0.8,1.048379,0.3664422,100,12.31333333,0.387314383,14.95587843,16.69808634,267.7037781,82357.82418,17.9769014,83960.61817,0,0.4,8.1,300,4.270406667,78.7,39.46666667,74.4,1,14,7.206958294,218.43,25.09062121,18.3,17.93,0,0.571024514,56.03273,80.69779,106.19206,5.92846,137,20.52471,3.760010004,2.887513,8.60512,0.99,0.0023299,0,0.094939999,100.33522,1.5384615,60.2051255,0.588661037,28.45094,0.716319146,0.94,9.5
Montenegro,0.802201007,30.63,15.2,99,1.495079444,4.145547583,4.95E-09,-21.97,109.1027397,61.00359832,5.58,9.1,100,15.17869,103.8646,6.4,10.11055,40.37174721,60.19394832,12.48666667,0.171092217,1.36384672,19.84297328,8.793527066,14151.5411,19.1957084,14558.13363,0,2.7,4.9,1324,-2.283616667,61,37.93333333,76.2,24.7,7,11.15878201,163.03,15.20357125,-0.8,19.79,1999.916361,8.009565697,89.21613,60.9184,100.94732,19.5014,208,-11.0277,5.420013348,6.48702,20.16643333,0.539,9.58766,28.41315707,0.40864,90.90293,17.2839506,8.160506483,38.56999344,55.53195,29.91221769,0.19,5.3
Belarus,0.798366518,26.46,20.599,100,1.495079444,6.682510398,11.88426797,20.47,288.6468125,39.9429449,5.29,6,100,15.66023,125.1991,6.4,3.13222,42.91360702,90.3702399,12.87666667,0.150727081,-2.604228782,14.17670122,161.4384492,17054.55833,36.9408479,16676.09012,0,5.1,3.7,137,-3.97693,59.02,27.43333333,71.3,32.7,1,11.97681,122.5,1.50227654,-0.2,37.56,471.5000616,4.707380287,89.31927,104.40231,97.74864,1.33186,335,-2.684163,5.121059895,6.067956,15.36216,4.424,1.692244,5.880189701,0.7006,105.12093,30.1204819,11.6002282,3.453266576,92.89484,15.14021071,6,4.9
Russia,0.797870201,39.69,25.727,100,0.414732113,12.64732823,0.11203485,-3.1,121.634714,48.2871023,4.3,5.2,100,14.68839,50.85843,6.2,3.369634,49.41176183,91.02143331,12.14333333,0.275847763,0.500000005,19.54526457,3381.460583,23564.20808,21.4729018,22352.04535,10.07673858,9.2,8.6,30800,1.167,70.52,24.33333333,70.1,35.1,24,11.95319462,155.14,11.76611859,1.5,43.09,161.0709347,3.066265131,90.88943,90.88468,100.55615,3.40296,475,1.290996,4.101749897,6.547179,19.59062,74.954,0.3219613,9.198517206,1.11802,95.2996,14.516129,7.734914695,1.900396289,76.14355,15.05567485,13,10.1
Oman,0.793019477,29.00333333,10.615,100,14.47818926,21.44112651,0,5.81,108.4330591,35.74522458,3.28,9.2,97.7,13.63765,98.57472,0.6,2.041126,0.006462036,100,12.31333333,0.275345016,9.998702029,19.18973612,147.5806,44532.45487,22.267826,34857.71384,0,1.1,9.8,1551,-11.84525,70.22,39.46666667,76.8,1.2,11,7.997653484,157.75,25.65479869,59.2,22.23,682.3357298,5.781896228,53.87018,51.96536,112.90026,6.43695,61,-0.5516817,4.200369835,2.598879,19.90897,0.026,0.0489753,0,0.132489994,93.50884,9.5808383,30.6138787,2.625672582,28.13726,2.574359766,0.92,11.4
Romania,0.79279742,27.33,30.955,97.66666667,-1.099266257,4.210560124,4.00945187,-7.53,113.671108,51.97491601,3.7,4.3,100,14.2108,84.52543,2.9,2.166231,28.89227024,77.66806279,3.25,0.333006004,2.330802013,6.20503882,363.3432065,18200.30216,23.484012,18107.95704,26.50377096,1.7,10.5,8019,-1.42904,54.08,28.5,74.7,18.4,33,10.77712727,105.91,1.507516344,-0.4,23.86,561.7382862,13.48939393,88.9144,77.43748,94.18799,5.95006,155,-6.010926,3.07336998,5.33907,17.56015,2.321,1.855112,22.76655523,0.48898,95.0113,11.9507909,0.91636851,18.38842692,51.59729,18.83897033,5.6,12
Uruguay,0.792762977,41.32,58.314,100,0.378659219,2.297642136,99.30434783,31.42,126.8667402,36.29592105,3.14,6.4,99.5,15.50195,51.27809,5.2,5.006598,10.47651697,57.01283323,12.87666667,0.312820492,4.199734675,13.84649868,64.61771282,18965.81654,22.9117829,19283.48112,296.9159753,7.9,9.5,2683,-2.740043333,61.46,27.43333333,77.2,20,14,8.451206207,160.8,1.562903844,-1.8,37.36,3682.114393,5.666597365,52.46094,88.68647,112.03577,5.25636,281,-9.974709,4.422180176,8.752842,13.79403,0.146,0.220342,42.111563,0.43051,90.33587,11.5384615,2.158105723,18.37414814,63.15235,19.2965834,1.5,11.1
Bahamas,0.78995806,30.74666667,28.463,97.66666667,-3.397831439,5.205237886,-1.94E-09,-29.42,105.6243584,104.8693587,1.62,5.4,100,12.56891,97.73016,1.3,4.53981,51.44855145,79.8069922,15.14,0.297899288,3.656194012,16.05748219,8.497705899,22517.99514,26.2730404,21336.42051,0,29.8,10.4,1364,-7.50723,76.92,26.83333333,75.4,3.6,37,10.94454861,71.44,0.045190908,5.2,28.18,6305.479462,4.108517131,80.93570667,85.61863,107.96289,10.5001,444,-4.135451,4.843226751,7.263478,14.1453,0.21,2.389068667,30.14685702,0.66356,92.85869,16.6666667,16.25522691,12.29293935,48.83732,15.53285071,0.37,12.9
Kazakhstan,0.787982452,28.56,29.946,100,0.414732113,15.81009754,-3.629456484,55.58,120.5365732,39.08028579,3.266666667,6.333333333,100,15.02347,64.94554,9.3,4.199878,1.221543134,98.9442786,18.43,0.267227654,1.699999998,10.30288648,382.7771613,22466.73406,21.1844653,20867.35416,55.33767285,7.8,14.6,4926,-5.1398,54.89,31.33333333,69.4,40.6,26,11.42,168.62,17.24528194,0,35.83,633.5159354,23.53101382,99.34056,58.2854,106.25026,0.72375,295,-0.7884321,3.060719967,4.255974,16.48238,2.171,0.0893783,0.968619019,0.15723,97.71127,20.1298701,21.14421591,9.179751775,44.52599,15.7965865,7.8,16.3
Barbados,0.785458413,44.77,48.387,97.33333333,3.70657025,5.556376063,-2.57E-08,-11.61,116.4568031,106.7328427,2.39,5.4,90.9,15.42006,96.8129,0.6,12.20436,19.44186047,66.89770962,87.5,0.357040191,2.675089962,16.14731884,4.332917507,15298.71552,18.4199227,12487.58331,0,7.4,13.3,509,3.85637,76.67,30,75.6,4.1,52,10.45693616,106.78,0.838819657,1.4,18.11,894.0000479,18.2378865,88.67,79.1215,105.28556,6.62534,521,-9.642315,5.610380173,6.780835,13.08663,0.067,1.846512,8.337838201,0.269913333,104.66018,19.6078431,11.34048144,31.64253784,60.84252,25.24936061,0.69,14.4
Antigua and Barbuda,0.783367264,41.94666667,49.263,99.33333333,-0.622743002,5.823804338,-4.854368935,-23.23,108.0834972,90.01668943,2.63,8.566666667,90.9,13.95383,103.5395,4.566666667,11.18527,22.27272727,66.92028465,8.46,0.259417903,3.427199827,18.47613929,1.831490875,20353.29082,23.2167195,20070.32342,0,11.2,7.7,244,-19.02902,64,46.9,76.1,15.03333333,30.66666667,9.2361755,120.02,9.432572246,-0.1,23.77666667,35507.59724,15.15558735,81.77675667,88.63093,97.89286,8.67793,403,-11.62851,2.554709911,4.866675,13.84503,0.049,1.759751,11.01627062,1.539136669,105.39351,25.7142857,31.93087737,11.95484071,23.48624,18.57519236,1.4,9.3
Bulgaria,0.781675314,34.28,35.857,100,-0.230997039,6.71438251,23.666496,-1.92,108.2542145,71.07860573,3.19,5.9,100,14.35479,137.3657,5.3,3.464894,37.19049374,75.03975955,28.73,0.211593764,2.803074934,16.50763779,114.0261092,15695.01779,21.3103857,15596.02718,0,1.9,10.1,6898,-4.58904,55.49,27.43333333,74.2,16.6,5,10.56554948,137.71,0.911303148,-1.4,38.12,808.1446013,7.819417614,94.30368,85.67279,99.52833,3.06135,151,-2.015277,3.820930004,7.626268,17.41818,1.878,3.059771,29.35964705,0.63924,93.11093,20.4166667,1.164359182,14.62378319,62.69648,18.95727582,2,11.6
Palau,0.780181065,38.66666667,69.189,97.33333333,-0.273601958,10.85543046,-11.29991554,44.63,117.1664248,70.86096176,4.906666667,7.966666667,59.3,13.67372,137.2439,3.466666667,2.307287,87.60869565,74.65682439,24.41333333,0.359146799,6.824763186,15.88481534,0.305648279,14611.7353,21.22679797,13495.87476,0,3.1,15.1,105,-3.136906667,54.96666667,21.1,72.686,13.56666667,86.66666667,12.32727758,90.6,7.04774076,0.5,13.81,0,18.52812418,64.61975667,64.83104,102.69424,5.197406667,295,1.139069333,6.315153281,9.887833,21.31281333,0.001,0.678576533,9.430907525,0.433166667,89.16064,10.3448276,26.72339612,36.95234025,46.14973,26.0315966,4.4,17.5
Panama,0.779677597,51.9,78.531,97.66666667,1.894181178,2.5843538,-14.88924051,-5.8,116.415564,67.60092438,2.95,2.1,90.9,13.27974,154.7536,1.3,11.84859,43.41404358,79.70988459,0.74,0.453917873,-1.712434771,9.99546846,72.62086671,18793.39333,26.506302,18191.98793,35.37573251,17.2,15.4,1658,-2.740043333,44.92,27.43333333,77.6,8.1,85,9.347121239,158.05,0.217225805,1.5,15.54,2456.693796,4.128047267,51.98974,69.55665,99.31342,8.39036,411,-11.13672,3.29343009,7.21292,25.48506,0.105,1.059602,20.15453963,0.19519,72.95113,19.2982456,4.099638473,17.81020034,43.45642,15.92204719,4.9,17.9
Malaysia,0.779245824,46.21,5.676,97.33333333,5.871119803,7.847738104,-9.356453348,37.21,107.1166667,142.6120757,2.91,4.3,100,12.73096,154.0829,1.5,3.698655,61.73306955,94.47991174,1.93,0.209,6.308375903,13.55006876,671.2875607,22589.37145,26.85762,22762.13945,103.4765827,2.3,7.2,25700,-0.21195,67.5,37.56666667,74.7,4.7,29,9.964879036,148.83,8.059532404,3.1,11.98,10160.44415,1.242853564,68.22,84.41011,101.40565,0.88035,132,0.6855851,5.940680027,4.027421,12.13758,0.481,0.4457442,5.479303009,1.06529,70.79637,14.2348754,8.308967622,52.04076725,37.20023,16.09883752,5.4,8.5
Mauritius,0.776552444,35.9,30.898,97.33333333,5.448620232,3.127070817,-9.690721636,49.3,114.5552413,122.3758308,4.9,11.7,100,15.57618,120.8154,2.9,2.167676,17.26108374,76.69909118,12.87666667,0.418769432,0.69999981,14.40304947,21.58059136,16647.79867,21.1939011,17469.7784,0,2.8,12.5,993,-11.64556,41.44,27.43333333,74.4,13.2,73,8.542904854,132.25,0.003379431,0,10.57,214.2606872,10.19461864,53.56978,112.87182,107.82467,4.19319,202,-34.06822,3.6738801,4.821519,19.79263,0.085,0.0049052,10.25069779,0.37229,95.85146,11.5942029,3.615950781,17.94742864,41.20891,18.99047508,0.97,14.3
Seychelles,0.772459367,65.77,56.255,97.33333333,8.485699417,6.835706362,0,32.75,114.6243636,35.17807709,6.65,7.2,100,13.37438,164.0275,3.5,12.30531,88.47826087,75.51462601,8.76,0.1845653,6.908474837,25.5840881,2.122207018,23798.76216,33.5986943,23300.30542,0,9.5,12.2,230,-198.31933,54.26,43.76666667,73.1,20.16666667,13.66666667,9.4112,162.19,0.120837949,-3.4,15.13,14227.60416,3.662937027,82.62227,113.45936,107.67232,15.12106,709,-11.83634,3.627640009,4.032539,12.55556,0.026,0.8919771,18.71848958,0.30209,79.50945,43.75,13.01083608,27.87776229,1.33298,31.2092615,1.8,14.2
Trinidad and Tobago,0.771893819,28.53333333,34.805,97,4.496099243,37.18763962,-6.539260485,5.54,120.812086,33.74087439,4.04,16.5,99.8,12.34507333,103.1528,6.2,6.95025,43.85185185,99.93253108,8.76,0.371436093,-0.597660224,9.50726523,39.52285223,29469.35299,9.7485838,26089.9511,0,28.3,19,434,-27.8252,65.1,41.16666667,70.4,20.4,84,10.88346335,147.34,29.31533432,-2.2,11.75,0,8.236260657,59.31815,82.93387,106.09769,10.61263,281,-27.04065817,6.026703358,5.29355,17.57943,0.336,0.5324638,0.067468916,0.04348,85.52195,24.6575342,2.422396881,49.59734804,11.95271,28.2583576,2.1,21.3
Serbia,0.771149777,29.65,16.872,99,2.709606612,6.799114997,21.39213141,-1.82,128.4622384,49.52544413,3.96,8.5,100,14.38712,92.69195,5.8,4.337332,32.10381889,89.08806084,2.54,0.175585707,2.12571896,19.55793478,92.36354531,12892.77704,21.1675582,12190.43399,15.16899702,1.2,5.8,922,-1.23418,53.5,26.2,74.9,19.9,16,10.46026516,122.13,3.911233127,-2.1,21.14,18081.48573,18.5369546,65.6302,58.36443,100.89554,0.78248,142,-9.244542,0.060529999,10.59735,15.15704,48.786,8.837068,11.05965253,0.9868,94.40921,34,5.598619043,7.59578147,56.38088,19.72139285,1.5,6.6
Cuba,0.769011135,47.08333333,43.085,100,1.287815574,3.185683146,44.10637184,308.52,110.494156,81.34224639,3.38,6,100,13.82581,39.09598,4.5,4.879291967,27.61367907,86.7186097,18.26,0.355911775,2.715648976,37.86710322,211.9468631,18796.19252,12.1560213,7301.039053,665.9485732,4.2,5,2829,4.12952,30,46.9,79.4,18.5,80,11.51362,22.48,3.6305722,-2.5,67.23,30624.39062,16.97609076,76.53,98.34956,97.52543,4.20672,510,-8.106579667,12.83726978,8.810774,9.06109,6.509,2.727936,13.28139924,0.41934,92.098,48.8562092,0.143596066,17.41251749,47.77119,20.70166334,0.33,6.2
Lebanon,0.768897837,37.67666667,11.978,100,3.316924672,4.674540418,4.625954161,56.97,111.8819224,187.6073054,3.183333333,5.433333333,100,13.7537,138.6929,0.6,6.829242,13.39784946,95.52014106,24.34,0.384790712,23.17665965,14.72341449,74.26113575,16622.93548,27.875186,16509.27721,0,2.2,7.8,1274,6.88766,74.7,27.43333333,79.3,1.2,16,7.917283708,88.35,0,21.3,32,0.341734893,1.228701222,54.15014,101.63892,113.45181,6.71228,118,-6.546601,2.572679996,7.174523,12.04695,4.238,17.72973,3.342120984,0.42791,75.04578,3.125,17.62186044,19.01218398,47.92795,15.48357987,1.5,9.1
Costa Rica,0.765746905,48.61,60.794,100,2.881564228,1.655602109,3.37753511,239.34,115.3331981,56.46947838,3.24,7.6,99.5,13.86196,73.88747,2.2,6.518283,51.91147669,48.26391813,2.08,0.349238581,3.850980339,17.93139451,65.43681041,13430.74321,20.9719865,13413.37683,0,8.5,8.4,2428,-0.05976,49.41,60,79.4,11.2,38,8.367648125,143.83,0.763435969,2.7,11.13,9470.099486,1.337190054,50.59686,77.24978,103.31134,12.27982,314,-9.706444,6.866449833,9.868729,16.42801,0.463,1.201907,51.80445878,0.47641,108.91868,33.3333333,8.611611345,15.07130361,47.5956,13.64160141,0.8,9.6
Iran,0.765590711,38.28,31.614,99,2.888831653,7.777322503,0,22.85,213.9536482,18.01379986,4.47,13,100,15.09423,53.71718,3.6,0.8267577,6.800528077,99.51631123,12.87666667,0.514622127,-4.330164801,11.17889894,1168.681422,15090.04722,25.7575748,15439.80435,9.104759852,4.1,14.4,4769,-0.98436,39.35,27.43333333,75.4,6.7,23,8.17,87.79,17.6281004,-0.8,8.9,1467.395936,25.10922472,65.07835,37.80181,118.55717,3.82423,284,0.861679333,3.679909945,6.688835,25.65459,76.422,0.2516494,0.686866501,0.7488,86.27669,3.1034483,3.421062472,19.34767938,55.16453,8.448795853,2.9,16.8
Venezuela,0.7622524,44.77,83.222,81,-0.266530597,6.400457516,-12.15968939,0.57,214.6947406,52.46847872,4.52,12.8,100,14.21738,50.40357,1,1.606266,51.81089507,88.85243796,1.71,0.475898794,3.342717649,12.19195867,535.5755048,17614.59821,20.310255,16158.95596,12.81110733,53.7,12.9,986,-0.50395,57,27.43333333,74.2,4.3,110,8.896468623,98.95,10.01873523,0.3,19.39,545.1421274,1.871314101,53.67144,75.50814,102.40588,4.87667,161,-1.247882,6.874670029,3.445115,17.56734667,8.419,0.0309479,11.1780688,0.42791,92.95358,16.969697,3.852402649,21.46414258,77.90962,15.51372892,2.4,14.9
Turkey,0.761120293,40.04,30.923,94,4.201025103,4.391547759,19.54132233,7.57,124.6263079,84.29383896,3.79,12.9,100,14.54396,57.85201,4.2,1.559719,15.03527669,89.50950558,12.14333333,0.358838355,6.189500501,15.05241995,1398.252884,18660.13082,20.3214746,18677.13032,45.45508614,2.6,16.5,37800,0.18938,51.04,19.7,75.3,11.8,20,7.560710907,94.79,0.327907592,0.9,17.11,216.5608483,5.494165807,49.38733,30.62929,100.03322,9.97535,179,-4.074148,2.862469912,5.59013,20.13204,65.9,0.1380552,10.27687166,0.85952,86.10934,14.4160584,2.488753866,17.58913991,69.38549,20.37734274,0.52,19.2
Sri Lanka,0.756658911,36.4,16.898,97,3.051562374,0.72992084,-22.09361703,30.34,122.69845,48.43082424,6.88,8.3,88.7,13.71335,54.4737,12.8,1.362821,29.19470579,48.65767072,24.53,0.369751852,5.51603088,13.11169063,193.0673788,9425.737383,29.2447085,9778.605247,5767.024715,3.4,8.2,1275,-5.10911,25.8,38.4,74.9,46.4,29,10.8,103.16,0.402924189,-3,6.8,46647.70741,21.06065205,74.02556,88.69307,98.44019,3.42509,132,-4.40052,1.72397995,3.244492,24.4299,123.027,9.559383,51.34233888,0.15664,99.33851,5.7777778,1.5276337,16.18009045,16.96746,11.99320157,1.1,9.6
Mexico,0.756207912,48.07,63.39,93,1.942618956,3.908712496,-8.250558388,15.51,111.7569034,49.51982351,3.74,4.7,99.1,13.06026,64.15951,1.7,3.338323,33.17554464,90.10370985,17.21,0.37281121,1.137379288,11.8729031,1992.894187,16290.8126,21.0499383,16055.96891,319.1137558,21.5,12.5,24200,-0.57867,44.39,46.7,76.8,7.1,49,8.468326569,82.54,6.391839981,-2,20.95,9881.927415,3.835616876,57.98388,101.39244,105.02204,4.24733,210,-5.983051,5.14620018,6.237916,28.01636,9.401,1.825855,9.855558511,0.42869,85.68148,37.1019108,0.902017788,21.91630459,28.99449,16.46192958,1.8,14.5
Brazil,0.755291956,52.67,70.794,93,2.702940361,2.231257237,-10.38652562,58.73,119.3673758,110.1084144,2.61,4.4,99.5,15.19340264,27.5911,2.5,3.599945,61.63251633,54.56668309,0.86,0.456865874,1.974289847,21.97252114,2916.284287,14555.0822,18.1830472,15174.96721,52.77375334,25.2,12.3,5813,-0.20734,57.6,38.8,74.5,9.4,69,7.66,138.95,3.84130758,-0.2,18.91,4505.646762,7.858502737,53.59817,69.02112,136.27055,19.37534,274,-4.149318,5.822249889,9.66039,20.51712,1.002,0.1129779,44.2481259,1.20964,105.48278,9.5959596,0.299297384,26.51247273,25.52885,15.42163032,2.5,13.7
Georgia,0.754118641,41.35,46.799,100,3.563738895,1.769150524,-1.504857851,93.81,106.9685008,42.90612736,6.453333333,7.5,100,13.79685,102.3306,1,5.925159,39.38955245,72.80037418,2.88,0.381596771,8.288507774,16.6820472,31.09760348,6946.235896,21.9489833,7164.025639,136.5315422,4.3,11.7,5392,-5.75187,48.9,9.1,74.9,5.7,41,12.11,124.94,0.66357442,-5.8,42.36,3300.923097,1.913552467,54.75734333,57.86627,103.09711,0.17955,225,-4.910562,1.983309984,9.432717,9.09457,6.835,12.05254,28.29928347,0.17658,100.62453,11.3333333,4.374512629,35.24127965,33.05094,24.11828496,4.5,13.1
